category_id,category_name,sub_cat1,sub_cat2,sub_cat3
114,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,Home_Kitchen,HomeStorage_Organization,LaundryBaskets
115,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,Computers_Accessories,Accessories_Peripherals,LaptopChargers_PowerSupplies
116,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,Home_Kitchen,CraftMaterials,Paints
117,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",Computers_Accessories,Accessories_Peripherals,MousePads
118,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,Home_Kitchen,Kitchen_HomeAppliances,OvenToasterGrills
119,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,Home_Kitchen,Kitchen_HomeAppliances,DigitalScales
120,Home&Kitchen|CraftMaterials|PaintingMaterials,Home_Kitchen,CraftMaterials,PaintingMaterials
121,Computers&Accessories|Accessories&Peripherals|USBHubs,Computers_Accessories,Accessories_Peripherals,USBHubs
122,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",OfficeProducts,OfficePaperProducts,Notepads_MemoBooks
123,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,Electronics,Mobiles_Accessories,Shower_WallMounts
124,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,Home_Kitchen,Kitchen_HomeAppliances,Pop-upToasters
125,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",OfficeProducts,OfficePaperProducts,WireboundNotebooks
126,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,Computers_Accessories,Accessories_Peripherals,CableConnectionProtectors
127,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",Computers_Accessories,Printers_Inks_Accessories,InkjetInkCartridges
128,OfficeProducts|OfficeElectronics|Calculators|Basic,OfficeProducts,OfficeElectronics,Basic
129,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,Computers_Accessories,Accessories_Peripherals,EthernetCables
130,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",OfficeProducts,OfficePaperProducts,CompositionNotebooks
